id,inhabitants,k01_youth_unemployment,k02_single_parent_households,k03_old_age_poverty,k04_children_with_migration_background,k05_inhabitants_with_migration_background,k06_change_proportion_of_foreigner,k07_foreign_transfer_recipients,k08_urban_apartments,k09_simple_residential_area,k10_duration_of_residence_over_5_years,k11_migration_volume,k12_balance_of_migration,k13_balance_of_migration_of_children_below_6
01100101,3419,2.8169,25.61576,9.72603,83.18043,59.9298,-1.30611,8.55365,,0,55.91725,38.36051,0.50707,-4.83009
01100102,1791,0,26.97368,4.58716,88.28452,66.94584,6.16502,3.07868,,0.61418,40.15152,49.55817,5.17884,1.50901
01100103,5211,3.85356,27.27273,20.19651,80.80357,58.35732,0.80354,21.03695,,6.04491,57.48744,29.77873,2.40964,0.29533
01100104,4636,4.375,24.23529,28.3237,79.94859,64.58154,-1.39921,25.29481,,8.23986,59.03233,32.69263,-2.08722,-2.64828
01100205,2573,2.51799,20.20202,4.31655,85.61873,61.91216,3.07515,7.04762,,0,56.43604,42.22104,3.04325,-5.97983
01100206,1803,0,32.29814,2.48963,80.95238,52.46811,-0.35957,5.939,,0,50.78901,34.68697,1.29355,-8.3939
01100207,8312,2.10896,19.93769,4.63619,79.70874,51.62416,0.55354,10.67416,,0,54.20986,30.87049,-0.07675,-4.51997
01100308,6967,0.87527,23.75,3.38462,54.27666,44.16535,0.36373,3.88727,,0.30142,50.51656,37.97037,-0.61408,-11.17374
01100309,12352,1.51659,32.90371,5.65844,52.92339,40.96503,-0.49381,10.523,,0,63.34014,27.40508,-1.5059,-3.79202
01100310,9903,1.97775,28.38196,7.75623,70.23173,48.92457,0.10639,10.85986,,0,57.06911,37.77713,-0.61443,-0.48062
01100311,9013,3.6855,36.4676,3.76656,77.85336,45.86708,3.35281,26.91706,,0,67.17859,24.15417,1.64735,2.01226
01100312,9422,2.16138,22.17742,2.59179,69.43958,44.44916,3.1179,8.54893,,0,54.47236,31.61474,6.83385,12.29195
01100313,10779,1.2285,25.17647,2.46753,62.21889,46.08034,1.18405,9.72607,,0,55.74123,31.952,0.30958,-4.13954
01100414,5178,1.43266,13.9576,6.77291,68.16193,53.82387,-0.90689,6.40274,,0,32.30414,38.10362,0.40868,-1.99913
01100415,12593,1.39535,29.24107,6.86275,47.00438,40.03812,-1.31583,6.68907,,0,61.08329,31.91072,-1.87593,-7.21554
01100416,13443,1.2848,28.3105,5.46164,48.76385,40.41509,-0.75207,5.60563,,0,57.61144,30.30952,-1.72266,-6.31893
01200517,3725,4.94118,31.41892,25.35714,84.4523,57.63758,0.47337,33.95818,,100,56.5648,33.32549,-2.02857,-6.7182
01200518,6866,5.2356,31.62055,23.91681,84.65724,62.8896,0.56191,25.88278,,100,51.221,41.12614,0.8449,-6.03391
01200519,9103,5.14286,31.19658,15.97415,71.16317,53.75151,-0.01479,27.0068,,99.43975,57.2771,33.4158,-1.88901,-10.7226
01200520,9433,4.772,28.51511,16.0221,67.11676,48.0229,-0.11565,23.51553,,100,61.56066,28.7106,-1.31963,-6.24351
01200521,5235,5.19288,28.57143,22.72727,80.81683,58.96848,-1.455,31.20045,,100,59.79526,31.73974,-2.06079,-5.96503
01200522,11333,2.14753,23.66738,7.70823,51.62162,35.60399,-0.38873,15.64327,,1.62358,68.22284,22.33375,-0.54096,-4.15362
01200623,10825,4.88627,23.71245,16.06383,68.50444,50.49423,-0.69871,23.41463,,99.97229,59.26106,30.97687,-1.54846,-4.88519
01200624,5178,3.53635,15.83012,14.12214,84.0796,67.32329,10.20121,9.06667,,55.02124,22.71024,72.65453,42.94276,33.44061
01200625,6976,7.60095,28.35821,19.42517,81.78105,59.76204,0.34467,35.94739,,100,67.36206,24.66955,-0.79376,-5.07249
01200626,5935,2.04082,22.82158,10.06224,58.23755,42.89806,-2.719,12.08244,,0.52233,63.1904,34.76949,-2.54809,-1.30388
01200627,3280,6.98254,30.30303,21.31474,85.71429,64.78659,-0.42013,42.9003,,100,68.09415,19.86441,-1.4092,2.28792
01200628,3132,1.08696,28.31541,14.31818,67.15686,42.40102,0.55738,10.96296,,0,63.68159,27.45932,1.18216,0.35964
01200629,5807,1.19363,24.19825,9.39005,60.11673,47.89048,0.22072,6.79245,,0,60.57437,29.80299,0.3309,-7.02303
01300730,7957,9.67742,32.09877,18.94273,88.7433,71.47166,-1.11616,42.54015,,99.54757,60.92016,34.37878,-2.80231,0.0112
01300731,8545,7.3694,31.71642,18.94094,81.40283,58.26799,-0.7754,41.95594,,100,62.10981,29.15101,-0.88554,-3.41276
01300732,9879,7.16535,32.98775,18.91593,83.85312,62.24314,-0.588,46.05227,,99.95951,63.18699,25.10912,-1.43463,-6.88474
01300733,11665,6.28723,27.86294,14.85909,83.59148,61.92885,-1.06298,39.42999,,99.94856,64.48379,26.20487,-2.14293,-5.043
01300834,14193,7.77526,24.53842,19.62447,86.53074,66.35665,-0.52497,43.70466,,99.23906,67.41996,19.08611,0.38299,1.31068
01300835,10443,3.39233,29.18707,11.37972,83.8659,59.59973,1.54409,29.7193,,100,67.85136,24.37092,1.21098,-0.93432
01300836,14657,6.69272,28.2167,17.94688,86.37048,64.58348,-0.43054,40.42082,,99.31773,60.75977,31.32398,-0.40535,-3.96793
01400937,10804,4.15486,36.58009,12.38318,71.95523,48.24139,0.42415,31.23028,,100,65.53464,23.05196,-0.70666,-6.92151
01400938,9725,6.17284,28.13688,12.4183,75.23001,52.6581,-0.63272,30.21536,,100,61.87756,30.31628,-1.67745,-7.80525
01400939,5926,4.04984,33.7232,7.33591,74.46328,51.90685,0.54369,30.08008,,100,60.10686,28.60245,-0.22753,-6.27419
01400940,6794,5.22388,38.19876,7.33119,62.87367,35.36944,1.03318,35.73635,,50.97145,70.23791,15.53824,-0.05548,-6.58817
01400941,3786,3.30033,29.60289,7.3831,80.40541,44.40042,1.14217,28.14727,,100,66.98009,19.80416,1.41269,-2.62543
01400942,8643,4.00782,30.10432,16.36829,77.08155,53.71977,-0.70223,29.80379,,100,56.65736,36.8815,-0.39376,-3.40269
01401043,7739,6.91164,27.74019,18.54664,87.97277,66.89495,-1.91428,42.20315,,98.84998,64.57995,26.02428,-0.70469,-5.61833
01401044,10224,7.71208,28.5865,18.62528,87.7942,67.4198,-1.17781,38.76418,,100,61.35562,27.22689,-2.4269,-1.64587
01401045,5722,7.94451,28.47458,18.5446,91.00529,72.94652,-0.76064,40.09046,,100,63.49648,30.99812,-1.61581,-4.91307
01401046,8781,4.29104,28.88563,19.06841,70.91562,49.27685,-1.60568,24.10959,,99.69252,55.58479,33.55219,-2.59923,-9.13834
01401047,7867,6.21572,26.75367,18.98239,83.02872,69.51824,-0.09937,25.16417,,100,56.51191,37.30161,-1.34994,-8.19757
01401048,9098,5.56586,26.63989,22.31813,77.30015,58.969,-0.78257,32.53558,,100,62.28794,30.91852,-1.14645,-3.73846
01401049,6689,8.06452,33.03085,22.31687,84.51113,61.20496,-0.47778,43.42789,,100,60.04401,25.60401,-2.63931,-9.47427
02100101,6281,7.17029,23.03665,24.69352,88.921,69.51122,-4.42354,25.84746,,95.58987,57.21218,49.03,-4.59086,-11.75373
02100102,8647,8.55661,25.31357,25.9624,91.86519,71.0998,-0.26037,34.81537,,100,65.44855,27.64063,0.9068,0.78418
02100103,5382,5.60897,26.10229,25.9325,85.04673,63.35935,1.48318,35.27569,,100,66.7583,24.04109,1.23233,-1.43238
02100104,5567,5.63187,29.26421,18.57585,91.74484,69.3192,0.02481,38.8497,,100,71.88389,21.44071,0.06405,-2.42345
02100105,9604,8.4674,29.52102,18.54251,89.67952,71.25156,0.02225,42.59705,,100,76.1633,18.54789,-1.05981,-5.2549
02100106,5009,8.4375,25.20325,26.84887,82.90686,65.34238,-0.7557,45.6241,,100,71.50628,18.75182,-0.69671,-5.58708
02200207,2067,0,13.38912,2.73973,52.21675,40.10643,1.76955,5.12249,,55.73295,19.45607,31.08233,6.27966,-4.08034
02200208,6008,5.34224,28.87701,14.00602,53.40909,44.32423,-0.92453,22.67706,,31.09188,62.74373,32.9718,-1.23282,-6.98636
02200209,10969,3.08057,22.32558,12.60126,51.48515,40.62358,0.02378,15.00982,,2.87173,62.82237,27.64264,-0.96059,-2.42164
02200210,12384,3.35508,28.52081,13.4413,53.30717,43.76615,0.1057,16.87817,,0,63.10283,28.07421,-2.11506,-7.43298
02200211,14760,4.85953,29.87304,13.55082,53.78973,41.84282,-0.86934,14.47044,,0,66.40392,26.9661,-1.4862,-5.30539
02200212,8602,8.62697,30.30303,16.50602,63.99731,50.36038,0.05231,28.23306,,12.70635,69.35998,21.36096,-0.46162,-4.63955
02200213,10284,5.8753,28.46639,16.49387,55.81854,45.57565,0.66244,18.29091,,30.30922,64.04667,27.28836,-1.1548,-6.20713
02300314,7587,7.85536,30.71104,20.98901,73.65989,60.95954,-1.03519,33.65469,,100,73.10174,20.86514,-1.19882,-3.63454
02300315,8723,6.9255,32.14286,21.54964,69.45848,57.76682,0.66672,29.32274,,100,70.2553,24.51244,-1.46597,-4.04452
02300316,4215,5.67164,32.8841,21.68224,63.7138,49.37129,-0.32915,25.80952,,100,68.51852,22.07851,-0.5721,-6.88784
02300417,8433,6.73712,31.27517,18.64198,67.80604,55.09309,-0.64259,24.74708,,100,65.66243,25.86548,-1.03586,-6.38738
02300418,7710,7.29335,31.15502,18.1552,54.7329,48.01556,0.19338,19.52941,,90.85603,66.00327,26.52773,-1.59852,-5.39556
02300419,10903,4.85537,30.19272,15.87983,59.27419,51.27029,-0.11047,20.81505,,100,66.40723,27.60182,-1.6798,-8.8226
02400520,5451,5.91133,41.12903,2.21811,59.52381,31.66391,1.61804,27.61905,,0,71.08434,17.74128,2.33948,15.90702
02400521,7858,1.87075,33.19559,3.86831,50.99099,33.97811,1.77788,18.05979,,0,58.75,28.67604,2.74935,2.57896
02400522,11262,2.60631,28.125,3.12738,41.43713,29.55958,1.64132,13.93678,,0,59.13257,27.45967,0.39525,-7.51978
02400623,13307,3.89105,37.98646,5.79182,68.80978,45.69024,2.35615,21.68706,,0,58.13454,28.15499,0.76919,0.03404
02400624,11314,1.90217,28.82788,3.95623,37.31237,33.43645,4.14118,9.68832,,0,58.52309,36.01674,1.02105,-6.22845
02400625,1136,9.2437,22.35294,22.72727,92.27053,68.83803,1.43353,27.03488,,56.42606,46.75325,42.67447,-1.64036,-18.46591
02500726,9134,2.60163,31.96005,9.26316,43.4158,35.75651,3.00841,14.50617,,0,53.84705,33.07447,-0.82253,-10.26291
02500727,6623,2.95455,28.31424,9.81211,45.1505,36.56953,1.56977,11.69451,,0,50.61433,32.59424,0.8656,-6.98713
02500728,10109,2.27596,30.12161,9.71429,35.13686,33.02008,2.05167,11.58983,,0,55.77773,33.16791,0.9203,-3.63162
02500729,5441,2.657,27.6699,9.7166,39.95772,33.35784,1.20732,13.31029,,0,58.82468,27.89224,-1.3147,-5.82693
02500830,3931,3.57143,30.86053,9.90099,48.12623,38.38718,0.72166,11.21951,,0,54.79268,35.28323,0.50258,-1.23518
02500831,7877,2.86195,32.59362,10.07752,46.23753,37.76819,2.77136,17.98867,,0,52.88049,35.19246,-1.42547,-5.81416
02500832,9064,4.99244,29.55032,10.18868,50.62377,41.01942,3.18036,21.98131,,0,46.75541,37.95295,3.47919,0.41119
02500833,10190,2.09268,29.44039,7.1875,37.8144,37.06575,1.89611,10.25097,,0,51.95248,38.1028,-0.26188,-12.6076
02500834,11378,1.90583,27.44063,7.04545,35.81395,34.84795,2.6296,8.82138,,0,51.51035,34.70772,-0.39395,-5.68163
02500835,7868,2.69841,28.13411,7.31225,45.17073,38.2181,2.72775,11.06403,,15.8363,48.71553,35.89147,0.87201,-6.96325
02500836,4709,0,18.26215,3.88548,30.01912,22.89233,-2.54591,8.31601,,0,55.0384,22.34119,-1.05712,-1.48366
03100101,4499,5.53846,26.45985,2.78207,20.32147,17.2705,1.18516,28,,3.46744,58.66348,34.33324,1.47262,4.4252
03100102,3214,6.28931,33.7963,1.72414,49.54628,27.19353,10.12658,26.44231,,57.00062,52.36167,42.48365,6.9302,3.91321
03100103,8979,5.80076,49.90234,1.72936,29.04348,18.44303,-2.5863,28.5,,46.11872,69.77458,25.05021,-2.58039,-6.91724
03200204,2058,0,29.95169,0,11.34969,6.17104,-9.3136,18.18182,,99.85423,77.87833,28.56963,-4.06763,-7.14143
03200205,8696,1.50463,26.50841,2.34681,22.63294,16.01886,1.82765,12.1813,,37.07452,67.52075,20.67534,1.44457,1.37478
03200206,6404,1.81818,26.30938,2.39234,26.20321,19.39413,0.04051,15.43536,,0,66.67769,18.21939,-0.91955,-1.28007
03200207,11464,1.88088,26.45028,2.30687,26.35284,16.76553,1.16011,28.40801,,23.11584,63.7977,17.75218,-0.07837,0.48086
03200308,5220,1.78571,22.06119,2.74725,16.98113,12.87356,1.09545,8.54093,,9.55939,77.15145,12.73935,0.10603,2.20804
03200309,5238,2.22717,22.38562,2.76855,26.09127,14.853,0.43139,33.33333,,70.90493,70.28169,15.36003,1.91471,6.9629
03200310,7961,1.60819,25.72534,2.79617,25.7719,15.70155,1.5507,25.53191,,0.03768,71.43619,14.95067,-0.75081,0.13894
03300411,11455,2.77264,35.82555,3.38889,30.42122,19.7643,2.11413,42.95506,,0,62.61401,20.93467,-0.32786,-0.28889
03300412,5138,0.77519,16.73469,0.65094,16.14583,9.43947,0.26557,16.24365,,0,78.93989,13.78398,0.75644,7.19765
03300413,3101,0,21.30178,0.61069,15.63574,9.28733,0.5978,12.61261,,0,79.81928,11.75044,-0.20825,4.38419
03300514,6875,0.56818,18.16921,0.38835,17.91045,8.77091,0.76547,20.08032,,6.60364,77.89729,12.75062,1.8444,12.15325
03300515,38,,,,,,,,,,,,,
03300516,7779,2.27596,20.30651,1.87793,34.37026,20.4525,0.67798,28.35539,,0,67.30639,29.70013,0.75081,2.53798
03300517,1120,0,32.55814,0,12.33766,4.28571,-0.16207,0,,0.53571,85.25346,7.90822,1.15811,12.85714
03400618,4742,1.5534,17.7305,1.88934,33.47594,21.06706,0.91594,14.28571,,0.46394,73.44996,16.66135,1.71728,12.23297
03400619,10438,2.17391,28.03235,1.71326,33.39141,19.1416,1.85141,18.37381,,0,67.01518,20.57261,1.80032,3.4391
03400620,3509,0.82192,18.56764,2.82885,29.90937,18.58079,2.29581,13.24921,,11.02878,73.72004,17.86429,2.62119,3.36709
03400721,11438,1.5,27.18866,2.47569,26.68205,20.2483,0.97361,14.09018,,0,65.1566,20.8719,-0.07045,-3.90562
03400722,3607,1.23839,23.34096,2.57069,23.93398,15.83033,0.08563,12.04819,,0,66.67634,18.46549,-0.57685,-3.47922
03400723,7112,2.21465,29.44915,2.574,29.14643,22.80652,1.92951,16.70306,,0,56.60434,25.90749,3.41199,3.19092
03400724,7633,2.51256,38.6918,2.51613,24.09123,13.74296,1.14585,16.16872,,0,70.52529,15.5796,-0.23467,0.43034
03400725,7450,1.45455,35.64477,2.5355,25.35771,13.55705,1.88622,23.78277,,5.66443,65.59898,16.19514,2.05791,5.87196
03400826,6620,1.1976,33.68842,3.17073,29.78903,18.9426,0.88784,17.3445,,0,64.05375,24.03101,-0.03628,2.79339
03400827,9628,2.21566,32.43762,3.12744,29.15864,23.60823,0.73547,9.01024,,0,61.31837,24.78794,0.58955,-5.62353
03400828,4615,1.21581,31.44796,3.20197,31.52174,23.25027,4.40509,6.83995,,0,61.60531,24.54185,6.21531,-3.95397
03400829,5583,1.7316,31.41524,3.1746,27.80639,17.37417,1.83248,15.52347,,0,72.29844,16.44292,0.63348,2.4792
03400830,9292,1.31965,42.36791,3.17003,26.30156,15.78777,1.95915,23.16176,,0,68.14681,19.48994,0.38213,-1.39311
03400831,0,,,,,,,,,,,,,
03500932,5096,2.23881,46.54545,3.00679,27.51938,13.9325,-5.88835,28.60169,,10.89089,68.06879,21.03816,-4.57453,-12.12812
03500933,7551,1.0772,29.80769,2.51076,26.29602,17.24275,1.77094,12.76316,,0,65.71468,20.82254,1.07792,-2.53421
03500934,10049,3.31126,27.61257,4.16198,33.03013,25.95283,2.49809,10.66588,,32.22211,56.2613,27.69453,1.10144,-3.16155
03500935,6407,3.67893,33.09091,7.56303,31.02625,25.40971,1.1257,11.87384,,18.57344,56.39661,28.53877,1.32689,1.75415
03500936,9819,1.97674,33.90491,3.97237,29.21569,20.89826,1.46019,25.44,,0,64.85202,22.18024,-0.15662,-1.14389
03501037,8509,6.90647,42.66338,2.34167,27.44108,19.46175,2.12817,30,,8.48513,63.65323,24.32689,3.14006,6.3236
03501038,7324,2.50896,34.85255,1.63339,25.60266,13.54451,1.2958,30.59581,,0.76461,70.12764,17.42946,0.72506,-3.14124
03601139,3795,3.63036,29.8913,6.11111,48.98711,34.86166,2.31143,16.89189,,0,48.32496,26.34407,1.94785,4.7753
03601140,5884,1.34831,26.48475,6.12903,35.53895,30.67641,1.82338,8.29841,,0,56.76887,31.44447,2.35163,-1.78938
03601141,6576,0,26.01156,6.23782,40.40307,33.39416,1.34008,9.66415,,0,57.34559,30.4279,-0.16381,-6.94421
03601142,10744,1.91083,29.1453,7.31707,40.28777,35.34996,0.83374,6.53876,,0,56.74983,29.73473,-0.945,-7.8249
03601243,7032,2.31092,27.39521,4.44811,36.96099,29.35154,0.07267,5.76631,,0,61.08862,24.70806,-1.50954,-6.76549
03601244,7600,1.42602,35.247,4.46321,36.21518,26.80263,1.59653,5.73833,,0,64.45361,25.09472,-0.26221,-5.16378
03601245,12813,1.8559,38.57008,5.15917,43.75409,26.99602,1.64482,13.19168,,0,61.36791,24.83439,0.1523,-5.80537
03601346,5470,2.23124,33.0303,11.39241,38.78788,33.30896,0.93551,8.98973,,0,63.52624,29.18511,-0.50774,-3.2389
03601347,9548,2.41935,28.89469,11.27596,37.86031,32.82363,1.01463,8.86139,,0,64.54768,23.87134,-2.36507,-11.22562
03601348,7516,0.91575,27.77101,11.32686,37.64893,33.23576,1.21437,7.41858,,0,59.49172,24.82545,-1.45876,-8.71935
03601449,9970,4.06627,49.72452,1.95553,45.04906,19.3681,2.02602,33.95062,,19.75928,72.65463,16.12264,1.61476,1.675
03601450,3965,8.04878,42.85714,2.67315,68.49315,42.1942,-0.81962,56.64914,,100,55.60684,61.44673,-1.94442,1.56124
03601451,6373,1.63551,31.08108,6.84932,36.84771,30.23694,2.31843,9.67251,,0,61.89453,24.81886,-1.42586,-10.66078
03601452,4063,2.54237,40.88542,5.30786,44.63972,32.16835,1.68323,16.83968,,0,59.23814,26.31576,1.9013,1.45545
03601453,2825,0,11.7284,2.69058,32.78689,28.92035,0.76758,1.3986,,0,64.68558,17.31902,1.91989,-1.64474
03701554,11328,0.29821,30,6.77618,44.75962,38.08263,0.59703,6.0713,,0,60.1099,28.2707,0.02866,-5.79742
03701555,7274,0.81301,33.05687,6.05327,38.16199,32.33434,0.11513,5.59779,,0,61.56295,24.47815,-1.6843,-8.24347
03701556,8656,1.1782,23.04833,6.18182,50.11806,39.22135,0.68014,6.44888,,0,57.27974,30.05298,-1.13551,-5.37741
03701657,3188,2.46914,33.01887,6.05042,54.09182,32.62233,1.95115,20.317,,0,66.61184,19.36941,-0.71261,-2.37172
03701658,8448,1.7673,28.4561,5.60976,38.43137,33.06108,1.02066,7.59424,,0,60.78997,29.17348,-1.36226,-5.82883
03701659,9164,1.45889,27.23048,5.65046,42.37187,34.10083,0.61258,7.77834,,0,63.07371,26.19755,-0.77412,-2.84877
03701660,12823,1.27737,28.54534,4.79233,34.88463,28.3475,0.58145,8.84633,,0,62.02719,24.26679,-0.04825,-2.30737
04100101,11548,3.33919,39.00778,10.14015,72.50755,49.57568,1.73747,25.36508,,40.31867,68.2803,24.65595,0.37506,-3.15808
04100102,7855,5.51181,37.98024,14.14634,79.83029,56.02801,1.17119,44.1,,100,75.88863,12.32226,0.09312,0.23228
04200203,1482,0,23.02158,1.34048,38.56502,27.19298,0.2203,6.54206,,0,72.89073,15.96383,0.14248,-3.40909
04200204,2832,2.14286,25.75758,3.15615,64.05229,31.77966,3.33276,11.04869,,0,66.14087,20.67987,1.42972,2.80233
04200205,2569,0,24.88263,2.14395,47.09302,32.26937,1.02116,5.74713,,0,67.0947,22.35067,0.98495,-1.20522
04200206,2963,0,22.59136,1.65394,44.31818,28.34965,0.24317,11.20448,,0,73.35652,15.64274,1.45062,11.3143
04200207,3192,0,19.10569,0.78616,33.40471,38.69048,0.48903,2.71444,,0,66.68812,28.71493,-0.6879,10.55605
04200308,6379,1.45161,21.51639,4.5728,60.28139,37.87427,2.7034,17.71732,,0.39191,59.70858,35.15233,2.56461,10.22079
04200309,6936,1.65017,29.26391,3.63279,43.46793,28.54671,-0.46814,9.12863,,0,67.38351,21.27965,0.25685,-1.62562
04200310,7809,1.78817,22.57552,3.64283,58.95735,37.70009,-1.85693,15.73834,,0,68.04561,23.6794,-1.3114,0.30675
04200311,7218,2.74348,29.3578,7.30563,62.61682,38.9166,-0.53018,16.21622,,0,64.14659,26.01334,-1.29805,-3.18512
04300412,3329,3.35366,30.56995,19.61057,69.9422,55.81256,2.00754,11.33441,,0,46.95217,42.63687,6.71975,2.91971
04300413,10334,2.82075,30.15717,15.58842,63.24683,48.30656,-0.84744,21.23348,,0,73.53121,17.66984,-1.62157,-4.8203
04300414,10786,2.43655,28.14815,9.19378,56.36115,38.96718,-0.53449,11.19334,,0,68.16026,26.10411,-1.10863,-8.25723
04300415,6488,1.10092,26.97769,9.13462,55.26316,38.94883,0.73136,11.40834,,0,69.49721,20.27653,0.23108,-3.86418
04300416,12145,1.44312,30.27344,6.94123,55.54847,41.6303,-0.12357,13.08477,,0,65.73241,28.02175,-0.71609,-6.43851
04300517,9637,1.79171,30.44693,13.94263,70.14388,47.08934,0.98356,16.88043,,14.40282,64.69251,24.68441,0.08951,-6.29582
04300518,5930,3.06859,28.83436,10.64815,70.06536,46.94772,0.57368,19.04762,,39.93255,62.46469,23.98284,-0.06811,-7.49298
04300619,8859,3.25203,29.08012,9.98407,66.44981,45.51304,0.71496,12.27488,,0,65.01879,22.51066,0.17018,-6.59618
04300620,3429,0.8596,28.25279,18.61702,84.65473,59.60922,1.61271,10.68447,,95.33392,55.33657,35.26904,6.42285,3.52376
04300621,10811,3.50877,27.27273,14.59459,68.96302,48.80215,0.81475,18.99254,,0,65.14418,23.60889,-0.15894,-3.91025
04300622,5157,1.50215,27.18894,18.12155,81.52012,57.8631,0.67589,13.48465,,0,59.71574,26.16506,0.74914,-10.49231
04300623,12121,2.74771,26.56904,11.79638,72.62873,54.91296,0.42855,13.54331,,0,63.60906,27.30003,-0.62179,-6.67232
04300624,9538,2.13483,29.15408,7.33122,63.71769,46.27805,0.28787,8.21643,,0,64.5738,26.06151,-0.46525,-4.24154
04400725,110,,,,,,,,,,,,,
04400726,5470,0.64935,26.67946,5.38922,63.35196,42.5777,1.91564,15.01736,,0,63.65542,23.68611,3.6647,10.95391
04400727,8264,1.12835,31.90883,6.3755,64.5774,39.79913,0.81525,10.66584,,0,67.34976,19.07212,0.16363,-3.2754
04400728,3173,1.23967,28.57143,2.4558,59.71074,36.84211,0.30469,3.67505,,0,66.32687,21.37513,2.1647,0.28815
04400729,2796,0,27.84314,1.56425,60.04415,37.58941,0.35826,5.39957,,0,69.20777,20.19296,0.00056,21.59189
04400830,7119,2.18069,25.89532,3.84193,63.93162,39.99157,1.3305,18.49711,,0,57.51846,26.30745,6.20205,7.87114
04400831,1513,0,23.25581,1.27273,52.91262,28.08989,0.02067,0,,0,73.17903,15.61277,0.23605,8.36925
04400832,7023,1.18846,24.54695,4.25738,43.69565,26.74071,1.16889,12.14058,,0,72.20419,18.10469,0.58298,-0.22979
04400833,4178,1.5748,35.09317,9.77496,65.55324,36.6922,1.99161,26.89655,,0,73.58116,16.22557,0.77242,7.00758
04400834,3574,1.41844,24.22145,6.45161,55.84416,32.73643,0.22577,10.86957,,0,73.08477,17.81636,0.15367,1.31111
